year	month	day	richter
1902	April	19	7.5
1902	December	16	6.4
1903	April	28	7
1903	May	28	5.8
1905	April	4	7.5
1906	January	31	8.8
1906	March	16	6.8
1906	April	18	7.7
1906	August	17	8.6
1907	October	21	8.1
1908	December	28	7.2
1909	January	23	7.3
1912	August	9	7.4
1914	October	3	7
1915	January	13	7
1917	July	30	7.5
1918	February	13	7.4
1920	December	16	7.8
1923	March	24	7.3
1923	March	25	5.7
1923	September	1	7.9
1925	March	16	7
1927	March	7	7.6
1927	May	22	7.6
1929	May	1	7.2
1930	May	6	7.2
1930	July	23	6.5
1931	March	31	6
1931	April	27	5.7
1931	August	10	8
1933	March	2	8.4
1933	March	10	6.2
1933	August	25	7.5
1934	January	15	8.1
1935	April	21	7.1
1935	May	30	7.6
1939	January	25	7.8
1939	December	26	7.8
1940	November	10	7.3
1942	December	20	7.3
1943	September	10	7.4
1943	November	26	7.6
1944	January	15	7.4
1944	February	1	7.4
1945	January	12	7.1
1945	November	27	8
1946	May	31	5.9
1946	November	10	7.3
1946	December	29	8.1
1948	June	28	7.3
1948	October	5	7.3
1949	July	10	7.5
1949	August	5	6.8
1950	August	15	8.6
1951	August	2	5.8
1953	March	18	7.3
1954	September	9	6.8
1956	June	10	7.7
1957	July	2	7.1
1957	December	13	7.1
1960	February	29	5.7
1960	May	21	9.5
1962	September	1	7.1
1963	July	26	6
1964	March	27	9.2
1966	March	7	7
1966	March	22	6.9
1966	August	19	6.8
1968	August	31	7.3
1969	July	25	5.9
1970	January	5	7.5
1970	March	28	6.9
1970	May	31	7.9
1971	February	9	6.6
1971	May	22	6.9
1972	April	10	7.1
1972	December	23	6.2
1974	May	10	6.8
1974	December	28	6.2
1975	February	4	7
1975	September	6	6.7
1976	February	4	7.5
1976	May	6	6.5
1976	June	25	7.1
1976	July	28	7.5
1976	August	16	7.9
1976	November	24	7.3
1977	March	4	7.2
1978	September	16	7.8
1980	October	10	7.7
1980	November	23	6.5
1981	June	11	6.9
1981	July	28	7.3
1982	December	13	6
1983	October	30	6.9
1985	September	19	8
1986	October	10	5.5
1987	March	6	7
1988	August	20	6.8
1988	December	7	6.8
1989	October	17	6.9
1990	June	20	7.4
1990	July	16	7.7
1991	February	1	6.8
1991	October	19	7
1992	March	13	6.8
1992	March	15	6
1992	June	28	7.3
1992	June	28	6.5
1992	December	12	7.5
1993	September	30	6.2
1994	January	17	6.8
1994	June	6	6.8
1995	January	16	6.9
1995	May	27	7.5
1997	February	28	6.1
1997	May	10	7.3
1998	February	4	5.9
1998	May	30	6.6
1998	July	17	7
1999	January	25	6.1
1999	August	17	7.6
1999	September	20	7.6
